A qual  programa esta vinculado?;Ha quanto tempo esta vinculado ao referido Programas de Pos-Graduacao?;Como voce avalia a qualidade das aulas e do material utilizado?[Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa? [Infraestrutura geral];Como voce avalia a infraestrutura do programa? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os discentes];Como voce avalia o relacionamento entre voce e: [os demais professores do programa];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto orientador];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [normas Capes];Como voce avalia o seu conhecimento acerca: [processo de avaliacao da Capes];Em relacao aos PROJETOS DE PESQUISA orientados por voce nesse Programa, voce esta:;Em relacao à sua PRODUcaO CIENTiFICA relacionada à esse Programa, voce esta:;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia social?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia econômica?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa promovem avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que os projetos de pesquisa orientados por voce nesse programa estao alinhados com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados pelas pesquisas sob sua orientacao nesse Programa e das producoes cientificas delas decorrentes? (Marque todas que se aplicam).;Voce tem iniciativa de prover captacao de recurso externo para o desenvolvimento de seus projetos de pesquisa (exceto bolsa)?;Na sua opiniao, o que e preciso para que o seu Programa tenha producao de conhecimento cientifico e tecnologico qualificado, reconhecido pela comunidade cientifica internacional da area em que atua?;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que a linha de pesquisa em que atua nesse Programa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente dos resultados das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Alguma tecnologia de APLICAcaO SOCIAL ja foi criada como resultado das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento CIENTiFICO, ou pretende apresentar?;Os projetos de pesquisa sob sua orientacao poderao gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Quais os principais impactos sociais a serem promovidos por seus projetos de pesquisa? (Marque todas aplicaveis);Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao?;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Voce possui projetos de pesquisa em parceria com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Sinto-me capacitado para oferecer disciplinas em lingua inglesa:;Gostaria de adicionar algum comentario referente ao Programa de Pos-Graduacao em questao?;Gostaria de adicionar algum comentario referente à Pro-Reitoria de Pesquisa e Pos-Graduacao?
Educacao Fisica;Mais de 12 anos;5;4;4;4;4;2;5;3;5;5;5;4;5;5;5;5;5;4;4;4;2;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;maior compromisso e priorizacao da parte docente;Nao;;;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;3;Sim;4;3;"precisa de uma renovacao frente as aposentadorias num futuro proximo e um engajamento maior  dos docentes que ainda nao fazem parte do PPG
";precisa se engajar em conhecer melhor as necessidades dos distintos programas e apoia-los em suas demandas
Entomologia;Mais de 12 anos;5;4;5;4;4;3;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;e necessario que a CAPES defina as regras no inicio de cada quadrienio e nao as mude ate a proxima avaliacao. Alem disso, que a CAPES crie um sistema de apoio à publicacoes em ingles.;Sim;Sim;Nao;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;5;4;Sim;5;5;Aumentar o apoio à publicacoes e ingles e em equipamentos para ensino remoto.;Aumentar o apoio à publicacoes e ingles e em equipamentos para ensino remoto.
Ciencias da Saude;Entre 4 e 12 anos;4;4;4;1;1;1;3;4;3;4;3;3;3;4;4;1;1;2;1;5;5;5;Nao;;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Um objetivo comum e alinhado entre os integrantes do programa. ;Sim;Nao;Sim;Nao;Sim, em um evento local, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos;0;Sim;1;1;Nao;1;0;;
Ciencia Florestal;Mais de 12 anos;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;4;3;4;4;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Recursos financeiros ;Sim;Sim;Sim;Sim;Sim, em um evento nacional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;5;5;Nao;3;1;;
Agroquimica;Entre 4 e 12 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;3;3;3;5;4;5;5;5;5;5;5;5;5;5;4;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;;Nao;;;Nao;Nao;Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local;3;;4;4;Nao;4;3;;
Engenharia Civil;Mais de 12 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;5;3;3;2;5;4;5;5;4;3;5;5;5;4;5;5;3;5;3;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Deveria permitir multiplas escolhas;Respeito ao regimento interno, no que tanqe a publicacoes, prazos, etc.;Sim;Nao;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;5;5;Nao;5;5;O programa enfrenta o desafio de ser 4 programas em um unico, com pouca interacao entre elels.;
Agroquimica;Entre 4 e 12 anos;4;3;2;2;4;3;3;3;4;5;4;4;5;5;5;5;3;4;5;5;5;5;Nao;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Uma central analitica bem equipada, que consiga realizar as analises para toda a UFV sem cobrancas ou com precos menores. Premiacao interna aos pesquisadores destaques em cada programa. O reconhecimento ajuda na produtividade. Estimulo à pesquisas aplicadas que sejam de interesse de empresas ou governo.;Nao;;;Nao;Nao;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Avanco cientifico;3;;4;3;Nao;3;1;;
Zootecnia;Mais de 12 anos;5;5;4;4;3;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Melhorar a infraestrutura de nossos laboratorios.;Sim;Sim;Nao;Sim;Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;4;;3;4;Sim;2;1;;
Economia Domestica;Menos de 4 anos;4;4;4;4;4;4;5;5;4;5;4;4;4;4;4;4;4;3;3;4;3;3;Sim;3;Sociedade;Nao;;Nao;;;Sim;Sim, em um evento nacional;Sim, em um evento nacional;3;Transferencia de conhecimento para a sociedade;2;;3;3;Nao;3;2;;
Fitopatologia;Menos de 4 anos;5;5;5;5;5;4;4;5;5;5;5;5;4;3;3;5;4;4;2;4;4;4;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;O programa de pos graduacao em fitopatologia e de excelencia, referencia a nivel mundial. Talvez o que limita o programa de alcar voos maiores seja a falta, ou melhor, a dificuldade de conseguirmos mais recursos para fortalecer e modernizar alguns laboratorios, e ate mesmo para pagar as taxas de publicacoes de algumas revistas. ;Nao;;;Sim;Pretendemos disponibilizar os resultados dos trabalhos para toda a comunidade de forma mais interativa e de facil entendimento, de forma a permitir que ate mesmo o publico nao academico, consiga entender os resultados das pesquisas. ;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;4;3;Sim;4;4;;
Engenharia Civil;Entre 4 e 12 anos;4;4;4;4;4;Sem condicoes de avaliar;4;4;5;5;4;4;4;4;3;3;3;4;4;2;3;4;Nao;;Empresas, Agencias Governamentais, IBGE, por exemplo. ;Nao;Deve-se ter maior interacao com outras instituicoes de ensino de referencia. ;Nao;;;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional;2;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;2;;3;3;Nao;3;2;"No PPGEC ha quatro areas de concentracao. Isso pode impactar na ""falta"" de uma identidade coesa do programa. Contudo, esforcos tem sido direcionados no sentido de melhorar a interface entre as areas. ";
Economia Domestica;Mais de 12 anos;5;5;5;4;4;3;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais, A instituicao familia a partir das politicas publicas mais centradas nas mesmas e, o objeto das politicas sociais, os sujeitos sociais.;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Nao vejo como um problema do Programa, mas da desvalorizacao da pesquisa em Ciencias Sociais Aplicadas que assisti uma ausencia de investimento desde os anos de 2013. Isso por sua vez reverbera nos Programas vinculados a referida area de Ciencia.;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional, Em oficinas de Escolas de Governo, como exemplo, ENAP.;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional, Em oficinas de escolas de Governo, como exemplo, ENAP.;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;3;Sim;3;2;;Entendo que a PPG deveria se ocupar menos das questoes academicas (rotinas) deixando isso na responsabilidade da PRE e RES e se ocupar mais de planos estrategicos para a ampliacao da pesquisa e da pos-graduacao na UFV. Sinto que os programas e seus pesquisadores tem pouco espaco para acoes estrategicas, tendo praticamente apoio, quando ha, da Fundacao. Creio que a PPG deveria ser mais um orgao estrategico do que de rotina dos Programas.
Ciencia da Nutricao;Menos de 4 anos;5;5;5;4;4;4;5;5;5;5;5;5;5;4;4;4;4;5;5;5;3;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Parceria com outras instituicoes, principalmente as internacionais.;Nao;;;Nao;Sim, em um evento local;Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;3;4;Nao;3;2;;
Agroquimica;Mais de 12 anos;5;5;Sem condicoes de avaliar;4;5;4;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;Sim;5;Sociedade, Empresas;Sim, junto a empresas interessadas nos resultados da pesquisa;Melhores condicoes como Espectrômetros de massas de alta resolucao e RMN 600 MHz;Nao;;;Sim;Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento regional, Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;4;;5;5;Nao;5;5;;
Engenharia Agricola;Menos de 4 anos;5;5;4;5;5;4;5;5;5;5;5;5;4;5;4;4;4;4;2;3;4;4;Sim;5;Sociedade, Empresas, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;;Sim;Sim;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;3;4;Sim;2;0;;
Economia Aplicada;Mais de 12 anos;5;4;4;5;4;4;5;5;5;5;4;4;5;5;5;4;4;4;3;4;4;4;Sim;4;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Apoio à traducao e submissao de artigos em periodicos de qualidade em particular Open Acess;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Melhoria na qualidade de vida da populacao local;3;;3;3;Nao;3;3;Sem comentarios adicionais;Sem comentarios adicionais
Ciencias da Saude;Entre 4 e 12 anos;4;4;4;2;2;1;5;3;1;5;2;3;4;4;4;4;4;4;4;4;2;5;Nao;;Sociedade, Agencias Governamentais, SUS;Nao;Apoio financeiro e gestao participativa;Nao;;;Nao;Sim, em um evento local, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;0;Sim;3;3;Nao;4;3;Estou saindo do programa apos decisao pessoal , o que se dara apos defesa do ultimo orientando;Precisa intensificar a possiiblidade de estimulo a programa s novos e de formacao de comunidade local, seja de professores, seja de tecnicos
Ciencias da Saude;Menos de 4 anos;4;4;4;3;4;3;4;4;4;4;5;5;5;4;4;3;4;3;3;4;3;4;Nao;;Instituicoes formadoras de recursos humanos em saude ;Nao;Incentivo financeiro para o minimo de estrutura necessaria à realizacao das pesquisas, visto que somos um corpo de jovens doutores, e como o programa e um mestrado profissional, nao recebe incentivo nem para custearas despesas basicas como gastos com secretaria.  ;Sim;Sim;Nao;Nao;Sim, em um evento local;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;4;Nao;3;0;;
Medicina Veterinaria;Entre 4 e 12 anos;4;4;4;4;4;4;4;3;5;5;5;4;5;3;4;3;3;5;5;4;4;4;Sim;4;Empresas;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Sim;Sim;Nao;Sim;Sim, em um evento internacional;Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;4;;5;5;Sim;4;4;;
Geografia;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;4;4;3;Sem condicoes de avaliar;4;4;4;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;3;3;3;3;4;3;5;5;5;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais, Movimentos sociais;Sim, junto a agencias de fomento governamentais;Ainda nao consigo ter um feedback para responder essa questao, uma vez que credenciei ha poucos meses no PPGEO/UFV. ;Nao;;;Sim;Nao;Pretendo apresentar, quando ela estiver mais desenvolvida. ;4;Criacao de novas empresas ou organizacoes sociais, Melhoria na qualidade de vida da populacao local;1;;3;3;Nao;3;1;;
Geografia;Menos de 4 anos;5;5;5;5;5;3;4;4;4;5;4;4;5;5;4;4;5;4;4;4;3;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a prefeituras municipais;Em primeiro lugar os colegas acreditarem neste tipo de producao. Em segundo, equipar os laboratorios e por ultimo termos bolsas, para que nossos egressos tenham condicoes de se dedicar integralmente às pesquisas.;Nao;;;Nao;Sim, em um evento nacional;Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Avanco cientifico;2;;3;2;Sim;3;3;Programa Novo. A falta de investimento tem colocado algumas barreiras, que na medida do possivel estao sendo superadas.;A PPG esta em um caminho muito interessante. Estimular e apoiar os programas e pesquisadores sao muito importantes. Para os novos programas o suporte na construcao de propostas para busca de financiamento sao interessantes.
Arquitetura e Urbanismo;Entre 4 e 12 anos;5;5;4;3;4;Sem condicoes de avaliar;4;4;5;5;4;4;5;3;3;3;3;5;4;5;3;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais, gestores publicos;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Maior financiamento de pesquisas e disponibilidade de bolsas;Sim;Nao;Nao;Nao;Sim, em um evento local, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;3;4;Nao;3;1;;
Medicina Veterinaria;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;4;3;2;4;4;5;5;4;4;4;4;4;3;3;4;3;5;4;5;Sim;5;Medicos Veterinarios ;Sim, junto a agencias de fomento governamentais;e necessario melhorar o financiamento de pesquisas;Sim;Sim;Nao;Nao;Nao;Nao;1;Transferencia de conhecimento para a sociedade;4;;1;4;Nao;3;0;;
Letras;Mais de 12 anos;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Sim;5;Sociedade, Outros Pesquisadores, docentes;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Recursos  e Bolsas de Pesquisa.;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;5;5;Nao;3;0;;
Administracao;Entre 4 e 12 anos;4;4;5;5;5;Sem condicoes de avaliar;4;4;5;5;4;4;4;5;4;5;3;4;4;5;4;4;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Penso serem fundamentais o aumento de parcerias nacionais e internacionais, e o fomento a traducao de artigos para lingua inglesa.;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional;Sim, em um evento nacional, Sim, em um evento internacional;5;Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;4;2;Nao;4;3;;
Educacao Fisica;Menos de 4 anos;5;5;5;4;4;2;5;5;5;5;5;5;5;5;5;4;3;3;3;5;1;3;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Maior investimento em infraestrutura, em equipamentos e insumos para os laboratorios. ;Nao;;;Sim;Sim, em um evento regional;Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;1;;3;3;Sim;2;0;;
Ecologia;Entre 4 e 12 anos;5;5;5;4;4;3;5;5;5;5;5;5;5;5;5;5;5;4;4;3;1;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Nao;;Nao;;;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;3;Sim;4;3;;
Letras;Entre 4 e 12 anos;4;4;4;5;5;Sem condicoes de avaliar;5;4;5;5;5;5;5;5;5;4;4;4;5;4;4;4;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);"Tempo de dedicacao à pesquisa em ciencias humanas, o que significa tempo para realizacao de leituras; corpo docente motivado a realizar pesquisa e publicar o que produz de conhecimento.";Sim;;Nao;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;3;;4;4;Nao;3;0;;
